<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2001.05.30	0.85580	0.85920	0.85350	0.85510	8135	0	50
2001.05.31	0.85510	0.85700	0.84390	0.84460	8323	0	50
2001.06.01	0.84550	0.84970	0.84310	0.84810	8097	0	50
2001.06.04	0.84680	0.85400	0.84400	0.84610	7572	0	50
2001.06.05	0.84620	0.85490	0.84240	0.85440	7855	0	50
2001.06.06	0.85450	0.85690	0.84450	0.84680	7721	0	50
2001.06.07	0.84690	0.85200	0.84560	0.85140	7540	0	50
2001.06.08	0.85150	0.85200	0.84570	0.85080	7527	0	50
2001.06.11	0.85000	0.85420	0.84100	0.84460	7416	0	50
2001.06.12	0.84420	0.85400	0.84140	0.85330	7830	0	50
2001.06.13	0.85320	0.85680	0.85100	0.85520	7649	0	50
2001.06.14	0.85540	0.86350	0.84860	0.86240	7708	0	50
2001.06.15	0.86280	0.86740	0.85990	0.86150	8066	0	50
2001.06.18	0.86290	0.86440	0.85750	0.86050	7590	0	50
2001.06.19	0.86050	0.86080	0.85250	0.85390	7595	0	50
2001.06.20	0.85350	0.85580	0.84950	0.85540	7854	0	50
2001.06.21	0.85540	0.85860	0.85120	0.85470	7980	0	50
2001.06.22	0.85480	0.85790	0.85100	0.85760	7423	0	50
2001.06.25	0.85680	0.86280	0.85640	0.85890	7915	0	50
2001.06.26	0.85900	0.86530	0.85830	0.86370	8192	0	50
2001.06.27	0.86380	0.86610	0.85810	0.85950	8223	0	50
2001.06.28	0.85950	0.86160	0.84300	0.84400	9594	0	50
2001.06.29	0.84430	0.85080	0.84350	0.84970	9030	0	50
2001.07.02	0.85030	0.85060	0.84390	0.84730	9082	0	50
2001.07.03	0.84780	0.85090	0.84540	0.84770	9782	0	50
2001.07.04	0.84770	0.85020	0.84290	0.84640	9655	0	50
2001.07.05	0.84630	0.84810	0.83540	0.83870	9869	0	50
2001.07.06	0.83930	0.84800	0.83460	0.84800	9197	0	50
2001.07.09	0.84690	0.85240	0.84440	0.84960	9323	0	50
2001.07.10	0.85010	0.85750	0.84870	0.85550	9234	0	50
2001.07.11	0.85570	0.86440	0.85320	0.85820	8884	0	50
2001.07.12	0.85800	0.85850	0.85040	0.85380	8469	0	50
2001.07.13	0.85380	0.85620	0.85070	0.85450	7541	0	50
2001.07.16	0.85400	0.85930	0.85210	0.85230	7414	0	50
2001.07.17	0.85270	0.86100	0.84880	0.85940	8302	0	50
2001.07.18	0.85930	0.87440	0.85680	0.87370	9413	0	50
2001.07.19	0.87380	0.87820	0.86800	0.87210	9835	0	50
2001.07.20	0.87200	0.87880	0.87020	0.87140	9169	0	50
2001.07.23	0.87050	0.87220	0.86490	0.86900	8986	0	50
2001.07.24	0.86930	0.87720	0.86850	0.87330	9078	0	50
2001.07.25	0.87340	0.88150	0.87140	0.88020	9503	0	50
2001.07.26	0.88030	0.88250	0.87460	0.87790	8809	0	50
2001.07.27	0.87790	0.88080	0.87210	0.87760	8306	0	50
2001.07.30	0.87770	0.87780	0.87210	0.87410	8155	0	50
2001.07.31	0.87420	0.87800	0.87220	0.87630	8461	0	50
2001.08.01	0.87620	0.88330	0.87540	0.88080	9465	0	50
2001.08.02	0.88120	0.88430	0.87840	0.88330	8745	0	50
2001.08.03	0.88360	0.88780	0.87760	0.88430	8493	0	50
2001.08.06	0.88300	0.88340	0.87840	0.88120	7299	0	50
2001.08.07	0.88130	0.88160	0.87490	0.87820	8855	0	50
2001.08.08	0.87820	0.88090	0.87370	0.88040	8886	0	50
2001.08.09	0.88040	0.89430	0.87990	0.89210	8202	0	50
2001.08.10	0.89210	0.89620	0.89090	0.89300	8983	0	50
2001.08.13	0.89370	0.90080	0.89200	0.89710	9124	0	50
2001.08.14	0.89700	0.90380	0.89350	0.90270	8878	0	50
2001.08.15	0.90260	0.91520	0.90180	0.91380	9856	0	50
2001.08.16	0.91380	0.92020	0.90920	0.91150	9893	0	50
2001.08.17	0.91160	0.91840	0.91000	0.91810	9078	0	50
2001.08.20	0.91760	0.92040	0.91090	0.91370	9175	0	50
2001.08.21	0.91390	0.91850	0.90770	0.91780	9454	0	50
2001.08.22	0.91780	0.92410	0.91210	0.91310	9453	0	50
2001.08.23	0.91320	0.91690	0.90980	0.91470	8693	0	50
2001.08.24	0.91440	0.91670	0.90760	0.91480	8928	0	50
2001.08.27	0.91450	0.91460	0.90830	0.91180	9158	0	50
2001.08.28	0.91170	0.91380	0.90260	0.91340	9358	0	50
2001.08.29	0.91270	0.91520	0.90810	0.90820	8552	0	50
2001.08.30	0.90840	0.91870	0.90550	0.91630	9131	0	50
2001.08.31	0.91630	0.92000	0.90660	0.91250	9515	0	50
2001.09.03	0.90940	0.91050	0.90550	0.90780	7638	0	50
2001.09.04	0.90760	0.90790	0.88470	0.88830	9475	0	50
2001.09.05	0.88850	0.89140	0.88430	0.88680	9294	0	50
2001.09.06	0.88650	0.89690	0.88240	0.89520	10076	0	50
2001.09.07	0.89570	0.90770	0.89280	0.90760	9636	0	50
2001.09.10	0.90600	0.90820	0.89710	0.89840	9048	0	50
2001.09.11	0.89820	0.91710	0.89540	0.91090	10890	0	50
2001.09.12	0.91080	0.91510	0.90070	0.90700	10113	0	50
2001.09.13	0.90710	0.91270	0.90460	0.91090	9576	0	50
2001.09.14	0.91080	0.92510	0.90800	0.92050	9492	0	50
2001.09.17	0.92360	0.93350	0.91720	0.92440	10296	0	50
2001.09.18	0.92490	0.92840	0.91860	0.92680	9954	0	50
2001.09.19	0.92660	0.93260	0.92280	0.92630	9000	0	50
2001.09.20	0.92640	0.92960	0.92280	0.92730	9001	0	50
2001.09.21	0.92750	0.92750	0.90840	0.91440	9345	0	50
2001.09.24	0.91340	0.92040	0.91030	0.91650	8124	0	50
2001.09.25	0.91640	0.92500	0.91450	0.92320	8801	0	50
2001.09.26	0.92310	0.92470	0.91950	0.92300	9525	0	50
2001.09.27	0.92280	0.92340	0.91590	0.91780	9406	0	50
2001.09.28	0.91800	0.91850	0.90780	0.91140	9633	0	50
2001.10.01	0.91030	0.91790	0.90590	0.91690	9105	0	50
2001.10.02	0.91700	0.91970	0.91320	0.91820	9265	0	50
2001.10.03	0.91810	0.92350	0.91250	0.91420	9896	0	50
2001.10.04	0.91410	0.91870	0.91100	0.91810	9129	0	50
2001.10.05	0.91820	0.92100	0.91560	0.91870	9041	0	50
2001.10.08	0.91910	0.92460	0.91650	0.92040	8258	0	50
2001.10.09	0.92020	0.92280	0.91230	0.91320	8943	0	50
2001.10.10	0.91330	0.91600	0.90990	0.91020	8553	0	50
2001.10.11	0.91060	0.91270	0.89890	0.90250	8912	0	50
2001.10.12	0.90280	0.91260	0.90100	0.91130	8790	0	50
2001.10.15	0.91170	0.91410	0.90590	0.90780	8864	0	50
2001.10.16	0.90790	0.91140	0.90380	0.90790	8632	0	50
2001.10.17	0.90790	0.90930	0.90090	0.90290	9234	0	50
2001.10.18	0.90330	0.90570	0.89960	0.90350	9148	0	50
2001.10.19	0.90340	0.90360	0.89650	0.89900	7939	0	50
2001.10.22	0.89850	0.90040	0.88960	0.89110	8611	0	50
2001.10.23	0.89110	0.89300	0.88670	0.89070	8873	0	50
2001.10.24	0.89040	0.89460	0.88980	0.89370	8191	0	50
2001.10.25	0.89380	0.89810	0.88780	0.89230	8243	0	50
2001.10.26	0.89240	0.89530	0.89030	0.89230	8355	0	50
2001.10.29	0.89220	0.90610	0.89210	0.90510	8770	0	50
2001.10.30	0.90530	0.91040	0.90330	0.90450	9138	0	50
2001.10.31	0.90470	0.90800	0.89850	0.90020	8913	0	50
2001.11.01	0.90030	0.91210	0.89920	0.90220	9266	0	50
2001.11.02	0.90230	0.90750	0.90060	0.90400	8902	0	50
2001.11.05	0.90150	0.90210	0.89420	0.89720	9206	0	50
2001.11.06	0.89730	0.89970	0.89400	0.89440	8565	0	50
2001.11.07	0.89440	0.90490	0.89370	0.89790	9490	0	50
2001.11.08	0.89780	0.89970	0.89060	0.89260	8743	0	50
2001.11.09	0.89240	0.89530	0.88880	0.89340	8706	0	50
2001.11.12	0.89440	0.90160	0.89110	0.89380	6199	0	50
