<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.02.17	1.33484	1.34316	1.31451	1.31907	182856	0	2
2013.02.24	1.31904	1.33183	1.29664	1.30180	232860	0	2
2013.03.03	1.30136	1.31341	1.29550	1.30042	138496	0	1
2013.03.10	1.29892	1.31069	1.29110	1.30754	233950	0	1
2013.03.17	1.29071	1.30095	1.28438	1.29867	272748	0	1
2013.03.24	1.29724	1.30479	1.27509	1.28148	217289	0	1
2013.03.31	1.28112	1.30397	1.27454	1.29915	208051	0	1
2013.04.07	1.29937	1.31380	1.29683	1.31082	221065	0	1
2013.04.14	1.31025	1.32015	1.30011	1.30510	274110	0	1
2013.04.21	1.30691	1.30933	1.29547	1.30267	228404	0	1
2013.04.28	1.30585	1.32427	1.30318	1.31131	210198	0	1
2013.05.05	1.31170	1.31944	1.29350	1.29853	200456	0	1
2013.05.12	1.29756	1.30293	1.27962	1.28363	226292	0	1
2013.05.19	1.28446	1.29980	1.28192	1.29278	272812	0	1
2013.05.26	1.29363	1.30614	1.28378	1.29956	277809	0	1
2013.06.02	1.29922	1.33045	1.29555	1.32168	312740	0	1
2013.06.09	1.31917	1.33898	1.31772	1.33445	305920	0	1
2013.06.16	1.33487	1.34158	1.30988	1.31209	298649	0	1
2013.06.23	1.31042	1.31508	1.29848	1.30078	290631	0	1
2013.06.30	1.30144	1.30780	1.28061	1.28291	261610	0	1
2013.07.07	1.28204	1.32066	1.27553	1.30651	304889	0	1
2013.07.14	1.30664	1.31781	1.29934	1.31408	243185	0	1
2013.07.21	1.31366	1.32968	1.31358	1.32765	226713	0	1
2013.07.28	1.32792	1.33446	1.31877	1.32798	234527	0	1
2013.08.04	1.32813	1.34002	1.32327	1.33387	210976	0	1
2013.08.11	1.33366	1.33798	1.32058	1.33279	210860	0	1
2013.08.18	1.33354	1.34518	1.32980	1.33788	224721	0	1
2013.08.25	1.33819	1.33986	1.31750	1.32195	200056	0	1
2013.09.01	1.32122	1.32270	1.31047	1.31766	172401	0	1
2013.09.08	1.31735	1.33244	1.31651	1.32932	168688	0	1
2013.09.15	1.33627	1.35685	1.33251	1.35217	178562	0	1
2013.09.22	1.35318	1.35642	1.34622	1.35216	159908	0	1
2013.09.29	1.34819	1.36455	1.34775	1.35565	181131	0	1
2013.10.06	1.35629	1.36070	1.34857	1.35372	167283	0	1
2013.10.13	1.35569	1.37036	1.34734	1.36853	175662	0	1
2013.10.20	1.36829	1.38320	1.36509	1.38020	158117	0	1
2013.10.27	1.38080	1.38171	1.34799	1.34858	180256	0	1
2013.11.03	1.34910	1.35472	1.32959	1.33644	175919	0	1
2013.11.10	1.33574	1.35046	1.33445	1.34943	178305	0	1
2013.11.17	1.34917	1.35770	1.33992	1.35554	182263	0	1
2013.11.24	1.35536	1.36214	1.34902	1.35901	159441	0	1
2013.12.01	1.35878	1.37061	1.35241	1.37045	198467	0	1
2013.12.08	1.37101	1.38105	1.36943	1.37376	173876	0	1
2013.12.15	1.37370	1.38111	1.36251	1.36700	197458	0	1
2013.12.22	1.36723	1.38930	1.36547	1.37462	105245	0	1
2013.12.29	1.37586	1.38189	1.35821	1.35874	156598	0	1
2014.01.05	1.35955	1.36871	1.35484	1.36665	200208	0	1
2014.01.12	1.36662	1.36992	1.35168	1.35405	189193	0	1
2014.01.19	1.35325	1.37393	1.35074	1.36752	198826	0	1
2014.01.26	1.36800	1.37163	1.34790	1.34849	222017	0	1
2014.02.02	1.34855	1.36425	1.34770	1.36342	224074	0	1
2014.02.09	1.36232	1.37145	1.35620	1.36918	168062	0	1
