<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.01.22	1865.90	1909.30	1863.10	1906.00	18115	0	0
2016.01.25	1906.50	1911.30	1874.70	1879.10	14894	0	0
2016.01.26	1878.90	1907.00	1858.60	1895.50	14672	0	0
2016.01.27	1892.10	1917.20	1872.00	1885.30	17403	0	0
2016.01.28	1887.20	1909.70	1873.30	1888.60	20386	0	0
2016.01.29	1885.60	1938.90	1883.40	1935.00	16261	0	0
2016.02.01	1936.40	1947.50	1919.00	1936.20	13743	0	0
2016.02.02	1935.90	1936.80	1896.70	1904.10	12534	0	0
2016.02.03	1901.90	1918.40	1872.20	1914.60	20649	0	0
2016.02.04	1913.80	1928.00	1896.50	1911.70	19847	0	0
2016.02.05	1911.20	1920.40	1871.90	1881.00	18166	0	0
2016.02.08	1882.40	1890.10	1827.80	1857.00	20309	0	0
2016.02.09	1855.60	1868.80	1832.00	1851.50	23458	0	0
2016.02.10	1854.60	1882.20	1843.50	1847.10	22636	0	0
2016.02.11	1847.30	1851.20	1807.30	1830.00	25997	0	0
2016.02.12	1831.50	1864.60	1827.70	1863.10	17508	0	0
2016.02.15	1869.60	1893.90	1869.30	1888.40	8354	0	0
2016.02.16	1887.70	1896.20	1874.00	1892.60	13655	0	0
2016.02.17	1891.40	1931.20	1885.10	1931.20	11538	0	0
2016.02.18	1930.20	1936.90	1914.90	1921.70	11174	0	0
2016.02.19	1920.50	1926.00	1901.70	1917.40	12114	0	0
2016.02.22	1914.00	1946.70	1911.70	1936.50	8453	0	0
2016.02.23	1937.00	1940.80	1916.90	1917.20	9716	0	0
2016.02.24	1917.00	1936.80	1889.80	1936.80	13518	0	0
2016.02.25	1935.70	1954.20	1923.40	1952.70	12494	0	0
2016.02.26	1951.40	1971.30	1944.10	1944.70	10646	0	0
2016.02.29	1945.20	1958.00	1928.70	1930.20	12498	0	0
2016.03.01	1930.70	1980.30	1922.70	1979.20	10704	0	0
2016.03.02	1978.10	1985.90	1967.90	1983.50	10134	0	0
2016.03.03	1983.60	1994.30	1976.20	1993.50	8223	0	0
2016.03.04	1992.90	2009.10	1985.80	1996.70	9298	0	0
2016.03.07	1996.30	2005.90	1986.30	2001.40	8926	0	0
2016.03.08	2000.60	2001.30	1977.20	1983.80	10108	0	0
2016.03.09	1983.10	1994.90	1978.70	1989.90	13476	0	0
2016.03.10	1990.30	2010.90	1968.20	1990.50	15637	0	0
2016.03.11	1988.40	2023.10	1988.10	2020.70	10290	0	0
2016.03.14	2018.90	2024.30	2012.20	2018.60	6763	0	0
2016.03.15	2018.80	2019.10	2004.42	2016.26	12028	0	0
2016.03.16	2016.50	2032.23	2006.29	2027.08	16949	0	0
2016.03.17	2027.00	2046.18	2015.36	2040.55	17872	0	0
2016.03.18	2040.45	2052.23	2036.33	2045.97	14965	0	0
2016.03.21	2046.50	2053.97	2040.37	2052.28	12905	0	0
2016.03.22	2052.40	2056.91	2038.06	2052.40	16082	0	0
2016.03.23	2052.17	2054.30	2034.43	2037.18	13882	0	0
2016.03.24	2036.93	2037.56	2029.06	2031.81	3569	0	0
2016.03.29	2036.14	2057.38	2027.87	2056.88	16892	0	0
2016.03.30	2056.63	2072.61	2055.26	2063.63	13356	0	0
2016.03.31	2063.38	2067.58	2055.51	2060.10	13400	0	0
2016.04.01	2060.58	2074.90	2043.31	2072.45	17855	0	0
2016.04.04	2072.05	2078.85	2061.88	2064.20	12372	0	0
2016.04.05	2062.89	2062.89	2041.94	2049.20	16373	0	0
2016.04.06	2048.72	2067.48	2041.95	2066.17	14616	0	0
2016.04.07	2066.67	2068.80	2032.97	2041.96	15255	0	0
2016.04.08	2040.96	2060.94	2037.09	2047.22	15524	0	0
2016.04.11	2048.20	2062.98	2038.84	2039.59	17165	0	0
2016.04.12	2038.84	2064.98	2036.47	2061.29	13841	0	0
2016.04.13	2061.44	2082.99	2060.32	2081.80	12336	0	0
2016.04.14	2082.05	2087.53	2074.43	2083.15	10712	0	0
2016.04.15	2083.30	2085.68	2075.49	2080.94	7863	0	0
2016.04.18	2080.90	2094.45	2064.60	2092.07	10677	0	0
2016.04.19	2091.22	2104.35	2090.85	2100.40	10251	0	0
2016.04.20	2099.83	2110.92	2091.71	2103.90	10793	0	0
2016.04.21	2103.14	2109.52	2084.27	2088.40	13034	0	0
2016.04.22	2085.27	2094.50	2080.53	2091.29	11722	0	0
2016.04.25	2091.90	2097.00	2076.73	2089.90	10831	0	0
2016.04.26	2089.50	2096.73	2085.06	2089.70	9710	0	0
2016.04.27	2087.43	2099.60	2081.82	2098.40	9711	0	0
2016.04.28	2098.10	2100.00	2070.73	2079.33	9144	0	0
2016.04.29	2078.98	2081.61	2051.68	2065.65	14763	0	0
2016.05.02	2066.00	2083.14	2061.04	2081.30	11032	0	0
2016.05.03	2081.10	2081.73	2053.58	2063.31	13569	0	0
2016.05.04	2063.06	2065.69	2044.93	2051.55	14214	0	0
2016.05.05	2051.70	2065.08	2044.68	2047.78	10971	0	0
2016.05.06	2048.18	2058.26	2035.31	2057.36	13303	0	0
2016.05.09	2056.40	2064.76	2053.58	2059.30	12117	0	0
2016.05.10	2059.06	2084.32	2053.44	2082.30	8692	0	0
2016.05.11	2081.04	2082.42	2061.31	2062.43	8242	0	0
