<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.08.14	10397.334	10513.615	10251.294	10300.992	85184	0	143
2019.08.15	10300.951	10465.138	10251.919	10408.950	85222	0	143
2019.08.16	10408.926	10699.143	10285.482	10663.687	85209	0	144
2019.08.17	10663.676	10954.424	10594.937	10901.272	85278	0	148
2019.08.18	10901.248	10930.070	10624.595	10647.854	85247	0	148
2019.08.19	10647.840	10651.196	10461.941	10623.166	85263	0	146
2019.08.20	10623.124	10631.397	10318.173	10331.818	85226	0	144
2019.08.21	10331.789	10485.550	10223.273	10462.641	85318	0	143
2019.08.22	10462.614	10675.555	10387.575	10620.222	85299	0	145
2019.08.23	10620.221	10715.409	10454.968	10455.266	85275	0	146
2019.08.24	10455.266	10647.403	10382.846	10588.691	85216	0	145
2019.08.25	10588.671	10784.451	10583.532	10746.666	85227	0	148
2019.08.26	10746.640	10778.336	10617.341	10623.035	85349	0	148
2019.08.27	10623.034	10646.756	10226.775	10302.260	85249	0	143
2019.08.28	10302.240	10423.530	10115.048	10115.048	85186	0	141
2019.08.29	10115.039	10125.573	9961.068	10113.679	85185	0	139
2019.08.30	10113.679	10288.111	10070.154	10080.840	85225	0	141
2019.08.31	10080.829	10195.434	10027.202	10104.547	85220	0	140
2019.09.01	10104.483	10149.417	9999.988	10127.289	85210	0	140
2019.09.02	10127.244	10208.080	9981.801	10083.315	85196	0	139
2019.09.03	10083.287	10182.322	9932.287	9939.295	85228	0	139
2019.09.04	9939.249	10187.979	9853.221	10106.055	85185	0	137
2019.09.05	10106.052	10210.888	10042.964	10144.350	85221	0	140
2019.09.06	10144.336	10198.749	9958.201	10151.092	85219	0	139
2019.09.07	10151.067	10218.978	10078.884	10156.863	85213	0	141
2019.09.08	10156.848	10310.358	10155.131	10276.663	85255	0	142
2019.09.09	10276.652	10340.988	10110.946	10162.866	85224	0	141
2019.09.10	10162.847	10337.645	10119.328	10305.726	85170	0	141
2019.09.11	10305.714	10442.947	10219.947	10311.545	85212	0	143
2019.09.12	10311.523	10448.770	10137.223	10194.559	85279	0	141
2019.09.13	10194.554	10231.910	10058.325	10099.508	85219	0	140
2019.09.14	10099.507	10191.597	9824.397	9840.689	84843	0	137
