<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2008.06.15	870.80	908.65	866.55	901.73	115432	0	0
2008.06.22	901.40	930.72	873.50	927.40	110923	0	0
2008.06.29	927.55	946.75	918.45	933.90	100580	0	0
2008.07.06	932.36	967.78	912.47	963.80	122017	0	0
2008.07.13	963.70	988.28	949.83	954.63	128419	0	0
2008.07.20	956.48	976.13	916.22	929.28	114360	0	0
2008.07.27	929.10	933.05	893.80	910.32	101022	0	0
2008.08.03	910.00	915.43	850.72	856.48	117507	0	0
2008.08.10	855.65	865.85	772.80	787.15	137425	0	0
2008.08.17	790.20	839.10	782.20	822.80	115373	0	0
2008.08.24	824.25	844.03	806.90	830.85	127121	0	0
2008.08.31	834.78	836.30	789.35	803.10	148703	0	0
2008.09.07	804.53	818.13	736.18	765.05	180315	0	0
2008.09.14	769.45	920.34	764.20	873.07	230232	0	0
2008.09.21	871.75	911.60	862.05	877.93	199542	0	0
2008.09.28	872.10	926.70	819.20	835.45	206605	0	0
2008.10.05	832.90	930.48	825.50	849.55	209816	0	0
2008.10.12	850.60	872.23	772.30	783.05	193390	0	0
2008.10.19	776.40	810.30	681.43	734.30	211754	0	0
2008.10.26	734.60	777.85	707.05	724.20	211705	0	0
2008.11.02	726.78	769.60	721.93	736.20	188256	0	0
2008.11.09	737.03	768.50	699.70	741.65	184867	0	0
2008.11.16	740.70	802.38	730.80	800.38	184067	0	0
2008.11.23	799.53	830.80	786.40	817.93	138482	0	0
2008.11.30	817.90	819.05	741.13	755.88	181770	0	0
2008.12.07	754.95	834.72	753.68	821.60	188503	0	0
2008.12.14	823.60	881.75	821.30	836.43	188234	0	0
2008.12.21	837.75	872.58	829.35	868.50	90352	0	0
2008.12.28	869.25	890.10	856.03	874.97	108231	0	0
2009.01.04	875.40	884.68	836.05	853.38	190610	0	0
2009.01.11	853.55	856.60	801.53	842.55	186813	0	0
2009.01.18	842.70	903.03	823.40	899.00	173409	0	0
2009.01.25	899.30	929.48	874.25	927.00	191428	0	0
2009.02.01	927.35	927.35	889.00	910.75	175042	0	0
2009.02.08	910.45	952.15	890.62	941.48	173147	0	0
2009.02.15	941.77	1005.98	936.18	992.40	175719	0	0
2009.02.22	992.63	997.98	927.00	941.72	213660	0	0
2009.03.01	939.90	958.15	900.00	938.70	199108	0	0
2009.03.08	937.85	941.95	891.33	928.85	167894	0	0
2009.03.15	927.10	966.70	883.78	951.50	173221	0	0
2009.03.22	951.55	957.08	916.38	922.85	165585	0	0
2009.03.29	922.70	932.92	890.58	892.55	158397	0	0
2009.04.05	893.85	896.63	865.20	881.00	118939	0	0
2009.04.12	880.90	899.78	865.18	868.25	116746	0	0
2009.04.19	868.50	913.85	864.50	912.40	133308	0	0
2009.04.26	912.68	918.30	880.15	886.05	119335	0	0
2009.05.03	886.80	925.30	884.65	915.90	124197	0	0
2009.05.10	916.40	934.15	908.45	931.30	118508	0	0
2009.05.17	931.05	961.42	915.05	956.85	124131	0	0
2009.05.24	956.69	980.22	941.05	978.47	112083	0	0
2009.05.31	978.93	989.97	952.55	954.88	147899	0	0
2009.06.07	954.75	965.20	935.82	938.75	133357	0	0
2009.06.14	938.80	942.70	925.75	933.40	122802	0	0
2009.06.21	933.50	948.20	912.83	939.10	120165	0	0
2009.06.28	938.55	946.40	923.07	932.50	93891	0	0
2009.07.05	932.30	932.30	904.93	912.55	105835	0	0
2009.07.12	912.65	942.02	907.80	936.85	97659	0	0
2009.07.19	937.25	957.35	936.50	950.95	100958	0	0
2009.07.26	950.85	958.80	925.65	953.50	99384	0	0
2009.08.02	954.20	971.60	951.11	954.60	127663	0	0
2009.08.09	954.40	960.50	940.12	948.05	111387	0	0
2009.08.16	948.10	957.85	930.33	953.33	108602	0	0
2009.08.23	953.40	961.55	934.55	954.40	109106	0	0
2009.08.30	954.45	997.34	943.35	993.10	134251	0	0
2009.09.06	993.90	1011.72	982.85	1004.58	130592	0	0
2009.09.13	1005.35	1023.90	992.18	1007.15	155615	0	0
2009.09.20	1007.10	1019.65	984.85	990.50	149689	0	0
2009.09.27	991.23	1009.68	985.17	1002.20	153459	0	0
2009.10.04	1001.85	1061.42	1000.58	1048.70	164058	0	0
2009.10.11	1048.65	1070.80	1042.90	1052.95	160891	0	0
2009.10.18	1052.60	1067.73	1047.67	1054.95	165004	0	0
