<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.10.08	26529.50	26545.00	26223.00	26528.00	1313963	0	0
2018.10.09	26527.50	26555.00	26335.00	26469.00	1311105	0	0
2018.10.10	26468.00	26518.00	25427.00	25434.00	1872361	0	0
2018.10.11	25456.00	25677.00	24892.00	25203.00	3966815	0	0
2018.10.12	25213.00	25541.00	24992.00	25315.00	2760335	0	0
2018.10.15	25327.50	25468.00	25108.00	25180.00	2173714	0	0
2018.10.16	25171.50	25800.00	25163.00	25764.00	1578165	0	0
2018.10.17	25745.50	25841.00	25459.00	25739.00	1667211	0	0
2018.10.18	25704.50	25722.00	25216.00	25393.00	2021712	0	0
2018.10.19	25382.50	25593.00	25336.00	25425.00	1817976	0	0
2018.10.22	25363.00	25561.00	25218.00	25303.00	1914463	0	0
2018.10.23	25295.00	25306.00	24750.00	25241.00	2530261	0	0
2018.10.24	25236.00	25334.00	24509.00	24717.00	2609114	0	0
2018.10.25	24689.00	25075.00	24568.00	24831.00	2629215	0	0
2018.10.26	24776.50	24882.00	24413.00	24745.00	3471184	0	0
2018.10.29	24716.00	25003.00	24083.00	24386.00	2730965	0	0
2018.10.30	24367.50	24895.00	24327.00	24886.00	2812464	0	0
2018.10.31	24865.50	25300.00	24820.00	25048.00	1891614	0	0
2018.11.01	25048.00	25359.00	25046.00	25289.00	1761559	0	0
2018.11.02	25200.00	25679.00	25034.00	25239.00	2338233	0	0
2018.11.05	25216.00	25462.00	25127.00	25442.00	1490814	0	0
2018.11.06	25437.50	25656.00	25363.00	25632.00	1350862	0	0
2018.11.07	25617.00	26193.00	25531.00	26181.00	1908464	0	0
2018.11.08	26175.00	26265.00	26066.00	26179.00	1344813	0	0
2018.11.09	26171.50	26232.00	25871.00	25968.00	1561132	0	0
2018.11.12	25972.50	26093.00	25331.00	25394.00	1760210	0	0
2018.11.13	25403.50	25561.00	25179.00	25333.00	2323965	0	0
2018.11.14	25366.50	25485.00	24920.00	25075.00	2300706	0	0
2018.11.15	25070.00	25346.00	24780.00	25327.00	2631314	0	0
2018.11.16	25311.50	25501.00	25093.00	25442.00	1971984	0	0
2018.11.19	25382.50	25487.00	24888.00	25037.00	1885864	0	0
2018.11.20	25030.50	25039.00	24352.00	24415.00	2467815	0	0
2018.11.21	24438.50	24656.00	24377.00	24469.00	1800215	0	0
2018.11.22	24471.00	24535.00	24288.00	24329.00	947229	0	0
2018.11.23	24337.00	24423.00	24244.00	24269.00	1120547	0	0
2018.11.26	24271.00	24661.00	24268.00	24497.00	1423963	0	0
2018.11.27	24500.00	24777.00	24403.00	24769.00	1827965	0	0
2018.11.28	24769.50	25365.00	24723.00	25330.00	1498263	0	0
2018.11.29	25321.00	25480.00	25204.00	25368.00	1474364	0	0
2018.11.30	25374.00	25592.00	25220.00	25585.00	1228231	0	0
2018.12.03	25811.00	26084.00	25682.00	25827.00	1684615	0	0
2018.12.04	25832.50	25835.00	24996.00	25036.00	2191964	0	0
2018.12.05	25022.00	25183.00	25002.00	25165.00	829125	0	0
2018.12.06	25127.50	25130.00	24254.00	24926.00	3416415	0	0
2018.12.07	24924.50	25111.00	24295.00	24412.00	2696085	0	0
2018.12.10	24312.50	24514.00	23893.00	24471.00	2759465	0	0
2018.12.11	24478.50	24819.00	24228.00	24332.00	2531815	0	0
2018.12.12	24336.50	24841.00	24332.50	24548.00	2239865	0	0
2018.12.13	24565.50	24748.00	24478.00	24571.00	2068815	0	0
2018.12.14	24585.50	24605.00	24039.00	24106.00	1985784	0	0
2018.12.17	24006.00	24221.50	23463.00	23695.00	2116253	0	0
2018.12.18	23684.50	23935.00	23524.00	23567.00	2167215	0	0
2018.12.19	23548.00	24072.00	23168.00	23302.00	2540065	0	0
2018.12.20	23309.00	23430.00	22635.00	23041.00	3521115	0	0
2018.12.21	23036.00	23244.00	22368.00	22388.00	3083233	0	0
2018.12.24	22365.00	22568.00	21965.00	22004.00	2080471	0	0
2018.12.26	21630.00	22966.00	21594.00	22867.00	2534230	0	0
2018.12.27	22883.00	23196.00	22239.00	23094.00	3372815	0	0
2018.12.28	23120.50	23367.00	22955.00	23033.00	3089885	0	0
2018.12.31	23126.00	23301.00	23088.00	23166.00	1221869	0	0
2019.01.02	23070.00	23388.00	22782.00	23112.00	2166071	0	0
2019.01.03	23039.00	23119.00	22612.00	22691.00	2915515	0	0
2019.01.04	22699.50	23500.00	22560.00	23386.00	2576885	0	0
2019.01.07	23453.50	23665.00	23277.00	23537.00	2077265	0	0
2019.01.08	23529.50	23843.00	23494.00	23725.00	1889065	0	0
2019.01.09	23718.00	23962.00	23711.00	23836.00	1788065	0	0
2019.01.10	23822.00	23996.00	23637.00	23960.00	1769514	0	0
2019.01.11	23956.50	23989.00	23766.00	23947.00	1382180	0	0
2019.01.14	23896.00	23932.00	23693.00	23867.00	1302807	0	0
2019.01.15	23865.00	24070.00	23821.00	23986.00	1562613	0	0
2019.01.16	23985.50	24255.50	23956.00	24158.50	1299465	0	0
2019.01.17	24157.00	24445.00	24007.00	24343.50	1476013	0	0
2019.01.18	24334.50	24724.50	24295.00	24682.00	1369885	0	0
2019.01.21	24682.50	24697.50	24524.50	24609.00	719186	0	0
2019.01.22	24579.00	24639.50	24214.00	24403.50	1539615	0	0
2019.01.23	24384.50	24667.50	24272.50	24536.50	1633515	0	0
2019.01.24	24515.00	24603.00	24383.50	24485.00	1604265	0	0
2019.01.25	24473.50	24826.00	24454.00	24689.50	1325135	0	0
2019.01.28	24662.00	24704.00	24281.50	24457.00	1469115	0	0
2019.01.29	24452.50	24634.00	24346.00	24620.00	1368265	0	0
2019.01.30	24635.00	25064.50	24536.50	24972.50	1463615	0	0
2019.01.31	24924.50	25042.50	24793.50	25032.00	1357465	0	0
2019.02.01	25026.50	25139.00	24931.00	24996.50	1388935	0	0
2019.02.04	24941.00	25194.50	24921.50	25168.50	995615	0	0
2019.02.05	25168.00	25369.00	25137.50	25315.50	936563	0	0
2019.02.06	25322.00	25383.60	25253.50	25310.00	983171	0	0
2019.02.07	25308.80	25326.80	24963.60	25119.50	1386324	0	0
2019.02.08	25114.80	25121.80	24859.60	25078.10	1312955	0	0
2019.02.11	25086.30	25220.80	24978.60	25017.30	1164763	0	0
2019.02.12	25000.80	25435.60	25000.80	25405.30	949494	0	0
2019.02.13	25391.30	25603.60	25382.30	25482.80	986284	0	0
2019.02.14	25484.80	25616.80	25301.60	25403.30	1352628	0	0
2019.02.15	25402.80	25893.60	25270.80	25884.10	1274354	0	0
2019.02.18	25885.30	25931.30	25843.30	25898.10	616336	0	0
2019.02.19	25892.80	25954.60	25785.30	25874.80	919062	0	0
2019.02.20	25876.30	25980.60	25821.80	25960.80	1067631	0	0
2019.02.21	25958.80	26078.80	25750.60	25830.80	1205433	0	0
2019.02.22	25830.30	26041.10	25802.30	25998.60	1003733	0	0
2019.02.25	26070.30	26235.60	26036.30	26080.80	962465	0	0
2019.02.26	26088.80	26146.60	25950.30	26011.30	1102495	0	0
2019.02.27	26004.30	26052.30	25870.10	26023.80	952505	0	0
2019.02.28	26025.30	26025.30	25874.80	25924.30	1023883	0	0
2019.03.01	25914.30	26139.10	25891.30	26030.10	922433	0	0
2019.03.04	26117.30	26164.80	25601.60	25802.30	1281483	0	0
2019.03.05	25806.30	25886.30	25718.60	25795.30	1159095	0	0
2019.03.06	25779.30	25829.60	25622.10	25663.30	1147143	0	0
2019.03.07	25663.80	25702.80	25334.60	25457.30	1334343	0	0
2019.03.08	25446.30	25499.60	25209.80	25495.60	1356780	0	0
2019.03.11	25450.80	25689.80	25215.60	25661.30	1199840	0	0
2019.03.12	25667.30	25754.80	25509.60	25581.80	1159977	0	0
2019.03.13	25558.30	25772.60	25456.30	25748.80	1152306	0	0
2019.03.14	25790.30	25824.80	25650.10	25742.80	1060281	0	0
2019.03.15	25738.30	25957.60	25675.60	25897.60	987999	0	0
2019.03.18	25860.30	25972.60	25805.80	25957.30	897432	0	0
2019.03.19	25958.30	26142.60	25844.60	25907.30	1012993	0	0
2019.03.20	25912.30	25962.80	25693.30	25697.30	1323045	0	0
2019.03.21	25697.30	26038.60	25604.80	25982.80	1273133	0	0
2019.03.22	25974.30	26033.30	25526.60	25568.10	1641603	0	0
2019.03.25	25580.80	25644.30	25374.80	25577.30	1781815	0	0
2019.03.26	25581.00	25818.60	25558.30	25665.80	1374381	0	0
2019.03.27	25668.80	25776.60	25438.60	25625.30	1530693	0	0
2019.03.28	25620.80	25758.60	25522.80	25743.80	1370393	0	0
2019.03.29	25727.80	25953.60	25721.80	25942.10	1163959	0	0
2019.04.01	25975.25	26284.55	25975.25	26245.75	1095244	0	0
2019.04.02	26229.75	26276.25	26123.55	26140.25	942861	0	0
2019.04.03	26139.25	26298.25	26130.75	26240.25	1008917	0	0
2019.04.04	26296.25	26407.05	26193.25	26388.25	1081062	0	0
2019.04.05	26381.75	26504.75	26358.75	26395.05	900697	0	0
2019.04.08	26384.75	26408.25	26245.55	26337.75	847907	0	0
2019.04.09	26334.25	26344.75	26102.55	26144.25	845929	0	0
2019.04.10	26135.75	26229.15	26103.05	26171.75	968726	0	0
2019.04.11	26175.75	26225.55	26058.05	26152.25	867639	0	0
2019.04.12	26151.75	26437.55	26137.75	26406.55	853029	0	0
2019.04.15	26404.75	26471.75	26314.05	26382.75	713156	0	0
2019.04.16	26387.25	26549.75	26373.75	26433.25	863643	0	0
2019.04.17	26422.75	26513.25	26381.55	26434.25	847788	0	0
2019.04.18	26434.25	26596.55	26306.75	26567.75	924023	0	0
2019.04.22	26562.25	26625.25	26445.55	26509.75	769055	0	0
2019.04.23	26515.25	26685.55	26459.75	26639.25	731657	0	0
2019.04.24	26644.25	26689.75	26515.75	26519.75	847913	0	0
2019.04.25	26527.25	26574.25	26288.55	26415.75	914907	0	0
