<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2008.06.01	886.50	935.30	857.35	925.35	494241	0	0
2008.07.01	925.30	988.28	893.80	913.70	521590	0	0
2008.08.01	913.80	917.10	772.80	830.85	518405	0	0
2008.09.01	834.78	926.70	736.18	871.50	845074	0	0
2008.10.01	871.43	930.48	681.43	724.20	946988	0	0
2008.11.01	726.78	830.80	699.70	817.93	695672	0	0
2008.12.01	817.90	890.10	741.13	874.38	736262	0	0
2009.01.01	873.13	929.48	801.53	927.00	763088	0	0
2009.02.01	927.35	1005.98	889.00	941.72	737568	0	0
2009.03.01	939.90	966.70	883.78	918.90	768147	0	0
2009.04.01	918.93	932.92	864.50	888.10	563015	0	0
2009.05.01	888.12	980.22	880.15	976.25	500292	0	0
2009.06.01	979.03	989.97	912.83	926.28	567647	0	0
2009.07.01	926.30	958.80	904.93	953.50	454301	0	0
2009.08.01	954.20	971.60	930.33	951.10	478765	0	0
2009.09.01	951.08	1023.90	946.35	1007.38	639382	0	0
2009.10.01	1007.43	1070.80	986.58	1044.98	716848	0	0
2009.11.01	1043.90	1195.22	1041.18	1179.15	695335	0	0
2009.12.01	1179.15	1226.37	1074.50	1098.15	874967	0	0
2010.01.01	1096.85	1161.90	1074.15	1080.59	695048	0	0
2010.02.01	1080.65	1130.63	1044.35	1117.30	708527	0	0
2010.03.01	1117.50	1144.85	1084.95	1112.83	629821	0	0
2010.04.01	1112.89	1181.60	1111.47	1178.55	522016	0	0
2010.05.01	1177.95	1249.25	1157.15	1215.90	712125	0	0
2010.06.01	1215.93	1265.03	1196.32	1242.05	611649	0	0
2010.07.01	1242.00	1243.82	1156.75	1180.75	561439	0	0
2010.08.01	1181.70	1249.63	1174.30	1247.20	452561	0	0
2010.09.01	1248.85	1315.83	1236.53	1308.05	535563	0	0
2010.10.01	1306.97	1387.07	1305.65	1358.90	720337	0	0
2010.11.01	1359.03	1424.25	1325.48	1386.00	860069	0	0
2010.12.01	1386.43	1431.03	1361.25	1418.22	786373	0	0
2011.01.01	1418.75	1423.70	1308.07	1332.65	657769	0	0
2011.02.01	1332.93	1417.99	1324.95	1410.73	500371	0	0
2011.03.01	1411.28	1447.61	1380.71	1431.90	1361260	0	0
2011.04.01	1432.73	1569.25	1412.52	1562.90	749143	0	0
2011.05.01	1567.03	1576.48	1462.35	1535.50	1125158	0	0
2011.06.01	1535.20	1558.07	1490.65	1499.61	829161	0	0
2011.07.01	1500.57	1632.47	1478.04	1626.65	773249	0	0
2011.08.01	1606.78	1911.89	1606.78	1825.75	1694780	0	0
2011.09.01	1824.40	1920.80	1532.64	1623.50	1750457	0	0
2011.10.01	1619.95	1752.35	1595.65	1714.55	1338258	0	0
2011.11.01	1713.96	1802.54	1666.66	1745.90	1504054	0	0
2011.12.01	1747.93	1762.97	1522.35	1564.16	993938	0	0
2012.01.01	1565.15	1747.34	1565.15	1737.25	781260	0	0
2012.02.01	1736.40	1790.42	1686.70	1696.45	800291	0	0
2012.03.01	1695.35	1725.69	1627.78	1667.85	2555961	0	0
2012.04.01	1669.71	1683.43	1611.80	1663.60	2347960	0	0
2012.05.01	1664.72	1671.45	1526.87	1559.73	1840188	0	0
2012.06.01	1559.73	1640.73	1544.88	1597.14	1622824	0	0
2012.07.01	1598.61	1629.36	1554.75	1614.16	1262955	0	0
2012.08.01	1614.19	1692.76	1583.95	1691.31	1201845	0	0
2012.09.01	1690.65	1787.40	1685.30	1771.90	977901	0	0
2012.10.01	1770.81	1795.73	1698.38	1719.80	1125026	0	0
2012.11.01	1719.40	1754.10	1672.46	1714.48	1218815	0	0
2012.12.01	1713.16	1723.23	1635.39	1660.78	1321881	0	0
2013.01.01	1674.78	1696.95	1625.53	1663.46	1908950	0	0
2013.02.01	1663.96	1684.76	1554.85	1579.30	1782696	0	0
2013.03.01	1579.13	1616.77	1561.30	1598.70	1378977	0	0
2013.04.01	1597.14	1603.69	1321.34	1476.13	2181379	0	0
2013.05.01	1475.49	1487.81	1337.75	1387.33	2213135	0	0
2013.06.01	1388.99	1423.67	1180.11	1234.10	1559083	0	0
2013.07.01	1233.23	1347.40	1208.03	1324.52	1816361	0	0
2013.08.01	1324.54	1433.51	1272.60	1394.58	1226653	0	0
2013.09.01	1392.90	1416.14	1291.64	1328.53	956786	0	0
2013.10.01	1328.53	1361.60	1251.58	1322.21	1323423	0	0
2013.11.01	1322.57	1327.26	1227.74	1251.33	974359	0	0
2013.12.01	1250.62	1267.76	1182.16	1206.29	980351	0	0
2014.01.01	1225.05	1278.83	1213.58	1243.88	1001918	0	0
2014.02.01	1242.35	1345.25	1240.67	1325.78	1172603	0	0
2014.03.01	1332.05	1392.07	1282.39	1283.96	1269966	0	0
2014.04.01	1283.96	1330.91	1268.23	1291.06	790869	0	0
2014.05.01	1291.06	1315.42	1242.12	1249.21	789091	0	0
2014.06.01	1249.90	1329.34	1240.45	1327.06	656929	0	0
2014.07.01	1327.03	1345.02	1280.36	1282.31	626290	0	0
2014.08.01	1282.26	1322.54	1272.83	1286.66	719143	0	0
2014.09.01	1285.97	1289.73	1204.36	1207.92	722118	0	0
2014.10.01	1207.75	1255.07	1161.00	1172.46	824606	0	0
2014.11.01	1170.65	1207.65	1131.65	1168.41	898483	0	0
2014.12.01	1159.10	1238.07	1142.63	1187.23	1022957	0	0
2015.01.01	1186.07	1307.47	1167.25	1283.41	1303259	0	39
2015.02.01	1281.34	1285.60	1190.13	1213.01	1025289	0	33
2015.03.01	1212.89	1223.09	1142.65	1183.22	1297689	0	29
2015.04.01	1182.22	1224.09	1175.09	1184.05	1224379	0	33
2015.05.01	1183.46	1232.22	1170.16	1190.05	1151524	0	29
2015.06.01	1188.29	1205.63	1162.69	1171.98	1157557	0	33
2015.07.01	1172.33	1175.01	1071.93	1095.50	1405258	0	33
2015.08.01	1095.56	1169.97	1080.90	1134.74	1719485	0	33
2015.09.01	1134.10	1156.61	1098.67	1114.56	1531237	0	33
2015.10.01	1114.92	1191.47	1104.54	1141.78	1756030	0	33
2015.11.01	1140.84	1142.87	1052.59	1064.50	1585985	0	33
2015.12.01	1065.01	1088.76	1046.29	1061.89	1600031	0	28
2016.01.01	1062.30	1127.95	1061.68	1117.99	1885279	0	28
2016.02.01	1117.38	1263.28	1115.37	1238.33	2597143	0	40
2016.03.01	1237.98	1283.22	1208.21	1232.56	2514944	0	40
2016.04.01	1232.07	1296.56	1208.85	1293.25	2557706	0	40
2016.05.01	1290.37	1303.58	1199.59	1215.10	2784618	0	40
2016.06.01	1214.59	1358.20	1205.88	1321.32	2511404	0	40
2016.07.01	1323.19	1375.00	1310.70	1350.75	2523706	0	40
2016.08.01	1349.61	1367.14	1304.09	1308.72	2363964	0	40
2016.09.01	1308.06	1352.46	1302.34	1315.75	2110175	0	40
2016.10.01	1318.09	1319.50	1241.26	1276.77	1938876	0	40
2016.11.01	1276.64	1337.12	1170.61	1172.95	2895040	0	40
2016.12.01	1172.81	1187.91	1122.66	1152.24	2163476	0	40
2017.01.01	1149.71	1219.98	1145.92	1210.45	2446866	0	40
2017.02.01	1209.95	1263.74	1198.04	1248.17	4992368	475476499995245235	40
2017.03.01	1248.01	1260.92	1194.84	1248.43	5410178	539945499994600545	0
2017.04.01	1249.66	1295.38	1243.56	1267.76	4374268	437426799995625455	39
2017.05.01	1267.30	1274.01	1214.17	1268.59	5339342	533876799994660848	39
2017.06.01	1267.57	1295.97	1235.74	1241.25	6333249	633324899993666751	40
2017.07.01	1241.39	1271.01	1204.67	1269.24	5703329	570332699994296673	40
2017.08.01	1268.62	1325.85	1251.36	1321.17	4704635	116609399998833906	40
2017.09.01	1321.33	1357.41	1275.90	1278.59	3342202	0	40
2017.10.01	1278.41	1305.85	1260.43	1270.62	3143370	0	0
2017.11.01	1270.49	1299.06	1265.29	1274.62	3180123	0	40
2017.12.01	1274.79	1307.41	1236.33	1302.42	3142809	0	40
2018.01.01	1309.57	1365.89	1305.73	1344.82	4580866	0	0
2018.02.01	1344.70	1361.61	1306.96	1317.85	5578283	0	30
2018.03.01	1318.08	1356.74	1302.69	1324.94	3494785	0	0
2018.04.01	1325.60	1365.14	1310.13	1315.10	2600368	0	30
2018.05.01	1314.70	1325.82	1281.96	1298.03	2742901	0	30
2018.06.01	1298.72	1309.19	1245.84	1252.50	2070588	0	30
2018.07.01	1251.90	1265.82	1211.38	1223.49	2226205	0	30
2018.08.01	1223.46	1224.71	1160.01	1200.87	1508689	0	30
2018.09.01	1200.64	1212.54	1180.54	1191.88	1305160	0	0
2018.10.01	1192.19	1243.31	1183.13	1214.25	1363691	0	0
2018.11.01	1214.57	1237.32	1196.16	1222.06	1205289	0	23
2018.12.01	1221.84	1283.97	1221.20	1281.19	1050414	0	23
2019.01.01	1285.76	1326.20	1276.50	1320.96	810578	0	0
2019.02.01	1321.08	1346.61	1302.29	1312.76	666921	0	23
2019.03.01	1313.66	1324.38	1280.64	1291.79	737531	0	23
2019.04.01	1292.31	1310.48	1266.18	1283.32	662000	0	23
2019.05.01	1283.24	1306.87	1266.18	1305.35	780094	0	23
2019.06.01	1307.39	1439.13	1305.93	1409.38	1278466	0	23
2019.07.01	1398.54	1452.87	1381.61	1412.49	1446214	0	0
2019.08.01	1413.42	1555.10	1400.39	1519.66	2125159	0	23
2019.09.01	1526.23	1556.92	1464.36	1472.34	1968275	0	23
2019.10.01	1471.49	1519.47	1458.98	1512.42	1985627	0	23
2019.11.01	1512.38	1515.79	1445.52	1462.86	1278650	0	23
2019.12.01	1464.04	1525.16	1453.84	1521.85	1107626	0	23
2020.01.01	1520.54	1611.29	1518.33	1588.13	1458886	0	23
2020.02.01	1593.11	1689.17	1547.37	1585.79	1593882	0	23
2020.03.01	1591.39	1703.36	1451.09	1575.52	2105635	0	0
2020.04.01	1568.29	1747.06	1566.46	1685.57	1455663	0	34
2020.05.01	1684.67	1765.06	1668.92	1728.70	1588218	0	23
2020.06.01	1733.53	1785.86	1670.52	1780.37	1443984	0	23
2020.07.01	1781.92	1982.89	1757.17	1973.93	1347721	0	23
2020.08.01	1978.78	2074.89	1863.04	1967.20	1567854	0	23
2020.09.01	1967.12	1992.40	1848.66	1885.28	1430439	0	23
2020.10.01	1885.38	1933.14	1859.81	1878.56	1284673	0	23
2020.11.01	1876.56	1965.40	1764.42	1776.62	1336576	0	23
2020.12.01	1777.06	1906.61	1775.60	1895.29	1308969	0	23
2021.01.01	1904.13	1959.32	1805.57	1848.35	1469380	0	23
2021.02.01	1862.93	1871.60	1717.00	1734.10	1510393	0	23
2021.03.01	1733.69	1759.86	1676.65	1707.25	1839428	0	23
2021.04.01	1707.43	1797.75	1705.68	1769.03	1481445	0	23
2021.05.01	1767.89	1912.63	1765.96	1906.32	1834940	0	23
2021.06.01	1906.52	1916.44	1750.50	1770.33	2069088	0	23
2021.07.01	1769.69	1834.08	1765.54	1813.72	2049913	0	0
2021.08.01	1813.94	1831.50	1680.44	1813.60	1474514	0	23
2021.09.01	1813.68	1833.93	1721.40	1756.93	1590020	0	23
2021.10.01	1756.20	1813.83	1745.77	1782.87	1605395	0	23
2021.11.01	1782.98	1877.04	1758.93	1774.76	1687895	0	26
2021.12.01	1775.06	1827.45	1752.64	1825.14	1490151	0	23
2022.01.01	1829.68	1853.73	1780.15	1797.16	1600799	0	23
2022.02.01	1797.42	1974.26	1788.53	1908.49	1958200	0	23
2022.03.01	1906.85	2070.40	1889.98	1936.99	3028803	0	24
2022.04.01	1937.13	1998.32	1872.01	1896.27	2339622	0	25
2022.05.01	1896.77	1909.68	1786.70	1837.31	2487040	0	25
2022.06.01	1837.20	1878.74	1802.62	1806.96	2513119	0	25
2022.07.01	1807.51	1814.01	1680.71	1765.71	1680752	0	25
2022.08.01	1764.95	1807.78	1709.44	1710.87	2412937	0	25
2022.09.01	1710.96	1726.66	1688.65	1696.74	426891	0	25
